id,name,ref
100409,AMTALI,1004
100419,BAMNA,1004
100428,BARGUNA SADAR,1004
100447,BETAGI,1004
100485,PATHARGHATA,1004
100490,TALTALI,1004
100602,AGAILJHARA,1006
100603,BABUGANJ,1006
100607,BAKERGANJ,1006
100610,BANARI PARA,1006
100632,GAURNADI,1006
100636,HIZLA,1006
100651,BARISAL SADAR (KOTWALI),1006
100662,MEHENDIGANJ,1006
100669,MULADI,1006
100694,WAZIRPUR,1006
100918,BHOLA SADAR,1009
100921,BURHANUDDIN,1009
100925,CHAR FASSON,1009
100929,DAULAT KHAN,1009
100954,LALMOHAN,1009
100965,MANPURA,1009
100991,TAZUMUDDIN,1009
104240,JHALOKATI SADAR,1042
104243,KANTHALIA,1042
104273,NALCHITY,1042
104284,RAJAPUR,1042
107838,BAUPHAL,1078
107852,DASHMINA,1078
107855,DUMKI,1078
107857,GALACHIPA,1078
107866,KALAPARA,1078
107876,MIRZAGANJ,1078
107895,PATUAKHALI SADAR,1078
107897,RANGABALI,1078
107914,BHANDARIA,1079
107947,KAWKHALI,1079
107958,MATHBARIA,1079
107976,NAZIRPUR,1079
107980,PIROJPUR SADAR,1079
107987,NESARABAD (SWARUPKATI),1079
107990,ZIANAGAR,1079
200304,ALIKADAM,2003
200314,BANDARBAN SADAR,2003
200351,LAMA,2003
200373,NAIKHONGCHHARI,2003
200389,ROWANGCHHARI,2003
200391,RUMA,2003
200395,THANCHI,2003
201202,AKHAURA,2012
201204,BANCHHARAMPUR,2012
201207,BIJOYNAGAR,2012
201213,BRAHMANBARIA SADAR,2012
201233,ASHUGANJ,2012
201263,KASBA,2012
201285,NABINAGAR,2012
201290,NASIRNAGAR,2012
201294,SARAIL,2012
201322,CHANDPUR SADAR,2013
201345,FARIDGANJ,2013
201347,HAIM CHAR,2013
201349,HAJIGANJ,2013
201358,KACHUA,2013
201376,MATLAB DAKSHIN,2013
201379,MATLAB UTTAR,2013
201395,SHAHRASTI,2013
201504,ANOWARA,2015
201506,BAYEJID BOSTAMI,2015
201508,BANSHKHALI,2015
201510,BAKALIA,2015
201512,BOALKHALI,2015
201518,CHANDANAISH,2015
201519,CHANDGAON,2015
201520,CHITTAGONG PORT,2015
201528,DOUBLE MOORING,2015
201533,FATIKCHHARI,2015
201535,HALISHAHAR,2015
201537,HATHAZARI,2015
201541,KOTWALI,2015
201543,KHULSHI,2015
201547,LOHAGARA,2015
201553,MIRSHARAI,2015
201555,PAHARTALI,2015
201557,PANCHLAISH,2015
201561,PATIYA,2015
201565,PATENGA,2015
201570,RANGUNIA,2015
201574,RAOZAN,2015
201578,SANDWIP,2015
201582,SATKANIA,2015
201586,SITAKUNDA,2015
201909,BARURA,2019
201915,BRAHMAN PARA,2019
201918,BURICHANG,2019
201927,CHANDINA,2019
201931,CHAUDDAGRAM,2019
201933,COMILLA SADAR DAKSHIN,2019
201936,DAUDKANDI,2019
201940,DEBIDWAR,2019
201954,HOMNA,2019
201967,COMILLA ADARSHA SADAR,2019
201972,LAKSAM,2019
201974,MANOHARGANJ,2019
201975,MEGHNA,2019
